date,interest,reef_break
2021-01-01,65,Kirra
2021-02-01,46,Kirra
2021-03-01,46,Kirra
2021-04-01,54,Kirra
2021-05-01,42,Kirra
2021-06-01,31,Kirra
2021-07-01,39,Kirra
2021-08-01,24,Kirra
2021-09-01,39,Kirra
2021-10-01,50,Kirra
2021-11-01,34,Kirra
2021-12-01,62,Kirra
2022-01-01,89,Kirra
2022-02-01,50,Kirra
2022-03-01,48,Kirra
2022-04-01,63,Kirra
2022-05-01,38,Kirra
2022-06-01,34,Kirra
2022-07-01,37,Kirra
2022-08-01,32,Kirra
2022-09-01,36,Kirra
2022-10-01,41,Kirra
2022-11-01,43,Kirra
2022-12-01,54,Kirra
2023-01-01,49,Kirra
2023-02-01,46,Kirra
2023-03-01,37,Kirra
2023-04-01,42,Kirra
2023-05-01,32,Kirra
2023-06-01,26,Kirra
2023-07-01,34,Kirra
2023-08-01,30,Kirra
2023-09-01,30,Kirra
2023-10-01,36,Kirra
2023-11-01,38,Kirra
2023-12-01,53,Kirra
2024-01-01,47,Kirra
2024-02-01,35,Kirra
2024-03-01,53,Kirra
2024-04-01,41,Kirra
2024-05-01,31,Kirra
2024-06-01,27,Kirra
2024-07-01,31,Kirra
2024-08-01,32,Kirra
2024-09-01,36,Kirra
2024-10-01,35,Kirra
2024-11-01,32,Kirra
2024-12-01,50,Kirra
2019-01-01,0,Chinamans
2019-02-01,0,Chinamans
2019-03-01,0,Chinamans
2019-04-01,0,Chinamans
2019-05-01,0,Chinamans
2019-06-01,0,Chinamans
2019-07-01,0,Chinamans
2019-08-01,0,Chinamans
2019-09-01,0,Chinamans
2019-10-01,0,Chinamans
2019-11-01,0,Chinamans
2019-12-01,0,Chinamans
2020-01-01,0,Chinamans
2020-02-01,0,Chinamans
2020-03-01,0,Chinamans
2020-04-01,0,Chinamans
2020-05-01,0,Chinamans
2020-06-01,0,Chinamans
2020-07-01,0,Chinamans
2020-08-01,0,Chinamans
2020-09-01,0,Chinamans
2020-10-01,0,Chinamans
2020-11-01,0,Chinamans
2020-12-01,0,Chinamans
2021-01-01,0,Chinamans
2021-02-01,0,Chinamans
2021-03-01,0,Chinamans
2021-04-01,0,Chinamans
2021-05-01,0,Chinamans
2021-06-01,0,Chinamans
2021-07-01,0,Chinamans
2021-08-01,0,Chinamans
2021-09-01,0,Chinamans
2021-10-01,0,Chinamans
2021-11-01,0,Chinamans
2021-12-01,0,Chinamans
2022-01-01,0,Chinamans
2022-02-01,0,Chinamans
2022-03-01,0,Chinamans
2022-04-01,0,Chinamans
2022-05-01,0,Chinamans
2022-06-01,0,Chinamans
2022-07-01,0,Chinamans
2022-08-01,0,Chinamans
2022-09-01,0,Chinamans
2022-10-01,0,Chinamans
2022-11-01,0,Chinamans
2022-12-01,0,Chinamans
2023-01-01,0,Chinamans
2023-02-01,0,Chinamans
2023-03-01,0,Chinamans
2023-04-01,0,Chinamans
2023-05-01,0,Chinamans
2023-06-01,0,Chinamans
2023-07-01,0,Chinamans
2023-08-01,0,Chinamans
2023-09-01,0,Chinamans
2023-10-01,0,Chinamans
2023-11-01,0,Chinamans
2023-12-01,0,Chinamans
2024-01-01,0,Chinamans
2024-02-01,0,Chinamans
2024-03-01,100,Chinamans
2024-04-01,0,Chinamans
2024-05-01,0,Chinamans
2024-06-01,0,Chinamans
2024-07-01,0,Chinamans
2024-08-01,0,Chinamans
2024-09-01,0,Chinamans
2024-10-01,0,Chinamans
2024-11-01,0,Chinamans
2024-12-01,0,Chinamans
2019-01-01,0,Kuta Reef
2019-02-01,0,Kuta Reef
2019-03-01,0,Kuta Reef
2019-04-01,68,Kuta Reef
2019-05-01,0,Kuta Reef
2019-06-01,0,Kuta Reef
2019-07-01,0,Kuta Reef
2019-08-01,0,Kuta Reef
2019-09-01,0,Kuta Reef
2019-10-01,0,Kuta Reef
2019-11-01,0,Kuta Reef
2019-12-01,0,Kuta Reef
2020-01-01,0,Kuta Reef
2020-02-01,0,Kuta Reef
2020-03-01,0,Kuta Reef
2020-04-01,0,Kuta Reef
2020-05-01,0,Kuta Reef
2020-06-01,0,Kuta Reef
2020-07-01,0,Kuta Reef
2020-08-01,0,Kuta Reef
2020-09-01,67,Kuta Reef
2020-10-01,0,Kuta Reef
2020-11-01,0,Kuta Reef
2020-12-01,61,Kuta Reef
2021-01-01,0,Kuta Reef
2021-02-01,0,Kuta Reef
2021-03-01,0,Kuta Reef
2021-04-01,0,Kuta Reef
2021-05-01,0,Kuta Reef
2021-06-01,0,Kuta Reef
2021-07-01,0,Kuta Reef
2021-08-01,0,Kuta Reef
2021-09-01,0,Kuta Reef
2021-10-01,0,Kuta Reef
2021-11-01,0,Kuta Reef
2021-12-01,0,Kuta Reef
2022-01-01,0,Kuta Reef
2022-02-01,0,Kuta Reef
2022-03-01,0,Kuta Reef
2022-04-01,0,Kuta Reef
2022-05-01,46,Kuta Reef
2022-06-01,0,Kuta Reef
2022-07-01,0,Kuta Reef
2022-08-01,62,Kuta Reef
2022-09-01,45,Kuta Reef
2022-10-01,0,Kuta Reef
2022-11-01,60,Kuta Reef
2022-12-01,0,Kuta Reef
2023-01-01,0,Kuta Reef
2023-02-01,0,Kuta Reef
2023-03-01,0,Kuta Reef
2023-04-01,0,Kuta Reef
2023-05-01,49,Kuta Reef
2023-06-01,0,Kuta Reef
2023-07-01,0,Kuta Reef
2023-08-01,73,Kuta Reef
2023-09-01,68,Kuta Reef
2023-10-01,100,Kuta Reef
2023-11-01,0,Kuta Reef
2023-12-01,0,Kuta Reef
2024-01-01,0,Kuta Reef
2024-02-01,0,Kuta Reef
2024-03-01,0,Kuta Reef
2024-04-01,0,Kuta Reef
2024-05-01,0,Kuta Reef
2024-06-01,54,Kuta Reef
2024-07-01,0,Kuta Reef
2024-08-01,0,Kuta Reef
2024-09-01,0,Kuta Reef
2024-10-01,0,Kuta Reef
2024-11-01,0,Kuta Reef
2024-12-01,0,Kuta Reef
